SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60583045,Barclays Bank Zambia Plc, ,Barclays Bank Zambia Plc,Barclays Bank Zambia Plc,,,,,Very satisfied,,,,,,,,,,,,,,,,,
60583046,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60583047,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60583048,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583049,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583050,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583051,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583052,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60583053,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583123,Other (specify),UBA banking,{0},{0},,,,,,,,,,,,,,,,,,,,,Satisfied,
60583133,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583134,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)","First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,Satisfied,,,,,,,,Satisfied,,,
60583198,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583199,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Neither satisfied or dissatisfied,,,
60583200,"BancABC Zambia Limited,Stanbic Bank Zambia Limited", ,"BancABC Zambia Limited,Stanbic Bank Zambia Limited",Stanbic Bank Zambia Limited,,,Satisfied,,,,,,,,,,,,,Satisfied,,,,,,
60583201,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583202,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583203,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583347,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60583348,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583349,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583350,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60583351,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60583352,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60583353,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60584014,"Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,"Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)","Barclays Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)",,,,,Very satisfied,,,,,,,,,,,,,,Satisfied,,,
60584015,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60584110,"Barclays Bank Zambia Plc,Finance Bank Zambia Limited", ,Finance Bank Zambia Limited,Finance Bank Zambia Limited,,,,,Very dissatisfied,,,,Very satisfied,,,,,,,,,,,,,
60584111,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60584112,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60585280,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60585281,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60585282,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60585283,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60585284,None, ,,,,,,,,,,,,,,,,,,,,,,,,
